Tipo_Execucao,Comprimento_Estrada,Densidade,Passos_Simulacao,V_Max,P_Slowdown,Num_Threads,Tempo_s
Paralelo (2 threads),1000,0.1,200,5,0.3,2,0.13708829999995942
Paralelo (2 threads),1000,0.3,200,5,0.3,2,0.28315729999985706
Paralelo (2 threads),1000,0.5,200,5,0.3,2,0.22552940000014132
Paralelo (2 threads),5000,0.1,200,5,0.3,2,0.5846191999999064
Paralelo (2 threads),5000,0.3,200,5,0.3,2,0.8508266000003459
Paralelo (2 threads),5000,0.5,200,5,0.3,2,1.047224500000084
Paralelo (2 threads),10000,0.1,200,5,0.3,2,1.0674260999999206
Paralelo (2 threads),10000,0.3,200,5,0.3,2,1.6064643999998225
Paralelo (2 threads),10000,0.5,200,5,0.3,2,1.9902229999997871
Paralelo (2 threads),20000,0.1,200,5,0.3,2,2.326461599999675
Paralelo (2 threads),20000,0.3,200,5,0.3,2,3.5928523999996287
Paralelo (2 threads),20000,0.5,200,5,0.3,2,4.048594700000194
Paralelo (4 threads),1000,0.1,200,5,0.3,4,0.2309149000002435
Paralelo (4 threads),1000,0.3,200,5,0.3,4,0.2696145999998407
Paralelo (4 threads),1000,0.5,200,5,0.3,4,0.39324230000011084
Paralelo (4 threads),5000,0.1,200,5,0.3,4,0.8400575999999091
Paralelo (4 threads),5000,0.3,200,5,0.3,4,1.0217796000001726
Paralelo (4 threads),5000,0.5,200,5,0.3,4,1.7338801000000785
Paralelo (4 threads),10000,0.1,200,5,0.3,4,1.3104152999999314
Paralelo (4 threads),10000,0.3,200,5,0.3,4,1.8109862999999677
Paralelo (4 threads),10000,0.5,200,5,0.3,4,2.5067057000001114
Paralelo (4 threads),20000,0.1,200,5,0.3,4,3.2235264000000825
Paralelo (4 threads),20000,0.3,200,5,0.3,4,4.674880199999734
Paralelo (4 threads),20000,0.5,200,5,0.3,4,5.572803400000339
Paralelo (8 threads),1000,0.1,200,5,0.3,8,0.29324300000007497
Paralelo (8 threads),1000,0.3,200,5,0.3,8,0.3451488000000609
Paralelo (8 threads),1000,0.5,200,5,0.3,8,0.366793200000302
Paralelo (8 threads),5000,0.1,200,5,0.3,8,0.9196228000000701
Paralelo (8 threads),5000,0.3,200,5,0.3,8,1.192971899999975
Paralelo (8 threads),5000,0.5,200,5,0.3,8,1.2868012000003546
Paralelo (8 threads),10000,0.1,200,5,0.3,8,1.4331710000001294
Paralelo (8 threads),10000,0.3,200,5,0.3,8,2.065026299999772
Paralelo (8 threads),10000,0.5,200,5,0.3,8,2.8044393999998647
Paralelo (8 threads),20000,0.1,200,5,0.3,8,2.631761099999949
Paralelo (8 threads),20000,0.3,200,5,0.3,8,4.0802913999996235
Paralelo (8 threads),20000,0.5,200,5,0.3,8,4.6150330000000395
